Pid,mrp,sale_price,discount_percentage,seller_name
B085MWL2GQ,5100,3850,0.16,Tayal Sons
B085MWGNGW,5100,4299,0.16,Tayal Sons
B085MW4RGS,5100,3999,0.16,Tayal Sons
B085MW36L8,5100,4299,0.16,Tayal Sons
B085MVSPL7,5100,3499,0.16,Tayal Sons
B085MVNN1V,5100,4299,0.16,Tayal Sons
B0794BWF67,1599,699,0.56,Proexamine Surgicals Private Limited
B012AQ1D3O,1200,684,0.43,STAY FIT STAY YOUNG
B082Z5QDHY,499,450,0.1,ViVy Fashions
B085N63YKL,3899,1789,0.54,Silver Stone Works
B071J8F6LV,1399,320,0.77,Dhan Distributors DIY Crafts ® India
B01GI91ZYQ,1299,649,0.5,INDOSURGICALS PRIVATE LIMITED
B075VRX99T,1099,363,0.67,Steeelo
B0839KQ2R5,699,230,0.67,SUNJEEVNI
B07DMWQG3M,499,452,0.09,ViVy Fashions
B07F3FK5V7,599,495,0.17,ViVy Fashions
B01MXLYITS,199,165,0.17,Aurum Creations
B07FRD393F,600,280,0.53,SAMBHAV SURGICAL
B085MBXCTR,30000,899,0.97,Any Designer®
B085LXZYWK,35000,18999,0.46,BLUE WISH®
B085N29PS4,699,379,0.46,UNICRON
B07GFGMGYP,499,249,0.5,SHOP BY ROOM
B07B4BPXSQ,2350,599,0.75,Online Surgicals
B085LNXQRF,699,349,0.5,Antil's Hub
B085MX3MP6,1099,699,0.36,Piyu Enterprise
B019FOU0WE,9500,9499,0,INDOSURGICALS PRIVATE LIMITED
B085M7M7LK,6499,3199,0.51,Mama's Almirah
B085L51Y3L,449,399,0.11,ROYAL CARE ENTERPRISES
B085N35B4Q,799,595,0.26,11 Pharma
B07HH8PJLW,410,349,0.15,Shree Mahavir Disposable
B0852Q8HHX,2600,499,0.81,AGARWAL SURGICAL
B0852Q6VGF,2600,499,0.81,AGARWAL SURGICAL
B07C1C9Z1G,1550,1050,0.32,Aabha Enterprises
B0852PW8Z8,2600,499,0.81,AGARWAL SURGICAL
B085MWMC45,2649,2249,0.15,Tayal Sons
B082Y4XWQM,700,225,0.68,Romsons Medsource
B084GQ9K1T,20000,1600,0.92,VPINDUSTRIES
B07WGYJ4JM,3500,500,0.86,RS Store's
B07SM8DDXN,345,195,0.43,Recombigen Laboratories Pvt ltd
B07FSC7F63,900,850,0.06,UNIFORM CRAFT
B01FFWBWKO,1549,1549,0,Surgical e Sstudio
B085LPVZP3,399,230,0.42,Antil's Hub
B07GSZR8LJ,2500,1800,0.28,PRE KARE HEALTH PRODUCTS
B07739YN72,999,449,0.55,Jupiter Industries
B07P9PGWFJ,9899,6440,0.35,Proexamine Surgicals Private Limited
B07PG2GYTD,299,149,0.5,Aurum Creations
B07DXXVSC3,399,175,0.56,Zenith International
B01AGCRCVQ,2999,2299,0.23,INDOSURGICALS PRIVATE LIMITED
B07Q6S87NN,700,349,0.5,E T S
B01MSXRBC7,999,399,0.6,MICROSIDD INDIA
B0774KHV8S,499,355,0.29,Safety  Products
B0733PCGZK,549,549,0,SARAF-INDIA
B085MZ2T6Q,4990,1099,0.78,STAR PRINSE
B01N6JI1XW,2450,1100,0.55,MICROSIDD INDIA
B07PYQQ1WB,999,500,0.5,indo-dent
B085NDLPDG,9999,1659,0.83,Nxtstep
B07WNB8ZPK,589,359,0.39,A2HEALTH
B012AQ2XN8,1100,500,0.55,shree krishna health care
B085NLFML4,1799,1049,0.42,JSH ENTERPRISES
B0799KXBC4,500,198,0.6,Shakuntla Medicare.
B07WN87JCQ,547,238,0.56,A2HEALTH
B085MWJ5SY,2649,2249,0.15,Tayal Sons
B085MWFQTL,2649,2050,0.15,Tayal Sons
B085MW96S8,2649,2150,0.15,Tayal Sons
B085MVZHBK,2649,2199,0.15,Tayal Sons
B085MW568Y,2649,2050,0.15,Tayal Sons
B07D5C29PQ,2100,720,0.66,STAY FIT STAY YOUNG
B01G51SYN2,3099,1991,0.36,INDOSURGICALS PRIVATE LIMITED
B012AQ1Z64,640,135,0.79,shree krishna health care
B0826MN6PZ,1899,1899,0,KST Product
B085MBKQXR,499,299,0.4,SARAF-INDIA
B0852Q32KH,6800,2699,0.6,AGARWAL SURGICAL
B083Q75L4F,599,399,0.33,Sure Safety (I) Pvt Ltd
B01M98TQWG,302,79,0.74,shree krishna health care
B0852PMZBH,2600,499,0.81,AGARWAL SURGICAL
